,step,adult,child,limited_mobility,elder,employee,run
402,3,0,0,0,0,0,4
403,4,0,0,0,0,0,4
404,5,0,0,0,0,0,4
405,6,0,0,0,0,0,4
406,7,0,0,0,0,0,4
407,8,0,0,0,0,0,4
408,9,0,0,0,0,0,4
409,10,0,0,0,0,0,4
410,11,0,0,0,0,0,4
411,12,0,0,0,0,0,4
412,13,0,0,0,0,0,4
413,14,0,0,0,0,0,4
414,15,0,0,0,0,0,4
415,16,0,0,0,0,0,4
416,17,0,0,0,0,0,4
417,18,0,0,0,0,0,4
418,19,0,0,0,0,0,4
419,20,0,0,0,0,0,4
420,21,0,0,0,0,1,4
421,22,0,0,0,0,1,4
422,23,0,0,0,0,1,4
423,24,0,0,0,0,2,4
424,25,0,0,0,0,2,4
425,26,0,0,0,0,3,4
426,27,0,0,0,0,3,4
427,28,0,0,0,0,3,4
428,29,0,0,0,0,3,4
429,30,0,0,0,0,3,4
430,31,0,0,0,0,3,4
431,32,0,0,0,0,3,4
432,33,0,0,0,0,3,4
433,34,0,0,0,0,3,4
434,35,0,0,0,0,3,4
435,36,0,0,0,0,3,4
436,37,0,0,0,0,3,4
437,38,1,0,0,0,3,4
438,39,1,0,0,0,3,4
439,40,1,0,0,0,3,4
440,41,1,0,0,0,4,4
441,42,2,0,0,0,4,4
442,43,2,0,0,0,4,4
443,44,2,0,0,0,4,4
444,45,2,0,0,0,4,4
445,46,2,0,0,0,4,4
446,47,3,0,0,0,4,4
447,48,3,0,0,0,4,4
448,49,3,0,0,0,4,4
449,50,3,0,0,0,4,4
450,51,3,0,0,0,4,4
451,52,3,0,0,0,4,4
452,53,3,0,0,0,4,4
453,54,3,0,0,0,4,4
454,55,3,0,0,0,4,4
455,56,3,0,0,0,4,4
456,57,4,0,0,0,4,4
457,58,4,0,0,0,4,4
458,59,4,0,0,0,4,4
459,60,4,0,1,0,4,4
460,61,4,0,1,0,4,4
461,62,4,0,1,0,4,4
462,63,4,0,1,0,4,4
463,64,4,0,1,0,4,4
464,65,4,0,1,0,4,4
465,66,4,0,1,0,4,4
466,67,4,0,1,0,4,4
467,68,5,0,1,0,4,4
468,69,5,0,1,0,4,4
469,70,5,0,1,0,4,4
470,71,5,0,1,0,4,4
471,72,5,0,1,0,4,4
472,73,5,0,1,0,4,4
473,74,5,0,1,0,4,4
474,75,5,0,1,0,4,4
475,76,5,0,1,0,4,4
476,77,5,0,1,0,4,4
477,78,5,0,1,0,4,4
478,79,5,0,1,0,4,4
479,80,6,0,1,0,4,4
480,81,6,0,1,0,4,4
481,82,6,0,1,0,4,4
482,83,6,0,1,0,4,4
483,84,6,0,1,0,4,4
484,85,6,0,1,0,4,4
485,86,6,0,1,0,4,4
486,87,6,0,1,0,4,4
487,88,6,0,1,0,4,4
488,89,6,0,1,0,4,4
489,90,6,0,1,0,4,4
490,91,6,0,1,0,4,4
491,92,6,0,1,0,4,4
492,93,6,0,1,0,4,4
